证券代码,证券简称,基金成立日
000082.OF,嘉实研究阿尔法,2013-05-28
000309.OF,大摩品质生活精选,2013-10-29
000326.OF,南方中小盘成长,2015-10-28
000409.OF,鹏华环保产业,2014-03-07
000411.OF,景顺长城优质成长,2014-01-02
000418.OF,景顺长城成长之星,2013-12-13
000457.OF,上投摩根核心成长A,2014-02-10
000471.OF,富国城镇发展,2014-01-28
000513.OF,富国高端制造行业A,2014-06-20
000524.OF,上投摩根民生需求A,2014-03-14
000549.OF,华安大国新经济A,2014-04-14
000577.OF,安信价值精选,2014-04-21
000586.OF,景顺长城中小创,2014-04-30
000592.OF,建信改革红利A,2014-05-14
000594.OF,大摩进取优选,2014-05-29
000628.OF,大成高新技术产业A,2015-02-03
000688.OF,景顺长城研究精选,2014-08-12
000696.OF,汇添富环保行业,2014-09-16
000697.OF,汇添富移动互联A,2014-08-26
000711.OF,嘉实医疗保健,2014-08-13
000729.OF,建信中小盘A,2014-08-20
000746.OF,招商行业精选,2014-09-03
000751.OF,嘉实新兴产业,2014-09-17
000756.OF,建信潜力新蓝筹A,2014-09-10
000761.OF,国富健康优质生活,2014-09-23
000778.OF,鹏华先进制造,2014-11-04
000780.OF,鹏华医疗保健,2014-09-23
000793.OF,工银高端制造行业,2014-10-22
000803.OF,工银研究精选,2014-10-23
000828.OF,泰达宏利转型机遇A,2014-11-18
000831.OF,工银医疗保健行业,2014-11-18
000854.OF,鹏华养老产业,2014-12-02
000866.OF,华宝高端制造,2014-12-10
000867.OF,华宝品质生活,2015-01-21
000884.OF,民生加银优选,2014-12-19
000893.OF,工银创新动力,2014-12-11
000913.OF,农银汇理医疗保健主题,2015-02-10
000916.OF,前海开源股息率100强,2015-01-13
000925.OF,汇添富外延增长主题A,2014-12-08
000955.OF,南方产业活力,2015-01-27
000960.OF,招商医药健康产业,2015-01-30
000971.OF,诺安新经济,2015-01-26
000974.OF,安信消费医药主题,2015-03-19
000978.OF,景顺长城量化精选,2015-02-04
000979.OF,景顺长城沪港深精选,2015-04-15
000985.OF,嘉实逆向策略,2015-02-02
000991.OF,工银战略转型主题A,2015-02-16
000996.OF,中银新动力A,2015-02-13
001008.OF,工银国企改革主题,2015-01-27
001009.OF,上投摩根安全战略A,2015-02-26
001028.OF,华安物联网主题A,2015-03-17
001036.OF,嘉实企业变革,2015-02-12
001039.OF,嘉实先进制造,2015-04-24
001040.OF,新华策略精选,2015-03-31
001042.OF,华夏领先,2015-05-15
001043.OF,工银美丽城镇主题A,2015-03-26
001044.OF,嘉实新消费,2015-03-23
001047.OF,光大国企改革主题,2015-03-25
001048.OF,富国新兴产业A,2015-03-12
001050.OF,汇添富成长多因子量化策略A,2015-02-16
001054.OF,工银新金融A,2015-03-19
001070.OF,建信信息产业A,2015-03-24
001072.OF,华安智能装备主题A,2015-04-24
001097.OF,华泰柏瑞积极优选A,2015-03-26
001104.OF,华安新丝路主题A,2015-04-09
001105.OF,信澳转型创新A,2015-04-15
001126.OF,上投摩根卓越制造A,2015-04-14
001158.OF,工银新材料新能源行业,2015-04-28
001162.OF,前海开源优势蓝筹A,2015-04-28
001163.OF,银华中国梦30,2015-04-29
001166.OF,建信环保产业,2015-04-22
001167.OF,金鹰科技创新,2015-04-30
001171.OF,工银养老产业A,2015-04-28
001178.OF,前海开源再融资主题精选,2015-05-18
001186.OF,富国文体健康A,2015-05-06
001188.OF,鹏华改革红利,2015-04-28
001193.OF,中金消费升级,2015-06-24
001195.OF,工银农业产业,2015-05-26
001208.OF,诺安低碳经济A,2015-05-12
001223.OF,鹏华文化传媒娱乐,2016-01-27
001230.OF,鹏华医药科技A,2015-06-02
001236.OF,博时丝路主题A,2015-05-22
001245.OF,工银生态环境A,2015-06-02
001277.OF,博时国企改革主题A,2015-05-20
001291.OF,大摩量化多策略,2015-06-02
001313.OF,上投摩根智慧互联A,2015-06-09
001319.OF,农银汇理信息传媒,2015-06-24
001396.OF,建信互联网+产业升级,2015-06-23
001404.OF,招商移动互联网A,2015-06-19
001409.OF,工银互联网加,2015-06-05
001410.OF,信澳新能源产业,2015-07-31
001416.OF,嘉实事件驱动,2015-06-09
001421.OF,南方量化成长,2015-06-29
001473.OF,建信大安全,2015-07-29
001476.OF,中银智能制造A,2015-06-19
001482.OF,上投摩根新兴服务A,2015-08-06
001490.OF,汇添富国企创新增长A,2015-07-10
001496.OF,工银聚焦30,2015-06-25
001520.OF,国投瑞银研究精选,2017-12-01
001521.OF,国寿安保成长优选A,2015-12-11
001528.OF,诺安先进制造,2015-08-21
001541.OF,汇添富民营新动力,2015-08-07
001542.OF,国泰互联网+,2015-08-04
001576.OF,国泰智能装备A,2017-06-21
001577.OF,嘉实低价策略,2015-07-27
001579.OF,国泰大农业A,2017-06-15
001583.OF,安信新常态沪港深精选A,2015-08-07
001605.OF,国富沪港深成长精选A,2016-01-20
001616.OF,嘉实环保低碳,2015-12-30
001626.OF,国泰央企改革,2015-09-01
001628.OF,招商体育文化休闲A,2015-08-18
001637.OF,嘉实量化精选,2015-12-07
001638.OF,前海开源优势蓝筹C,2015-07-06
001643.OF,汇丰晋信智造先锋A,2015-09-30
001644.OF,汇丰晋信智造先锋C,2015-09-30
001645.OF,国泰大健康A,2016-02-03
001651.OF,工银新蓝筹A,2015-08-06
001672.OF,国寿安保智慧生活,2015-09-01
001677.OF,中银战略新兴产业A,2015-11-26
001678.OF,英大国企改革主题,2018-11-22
001685.OF,汇添富沪港深新价值,2016-07-27
001692.OF,南方国策动力,2015-08-26
001703.OF,银华沪港深增长A,2016-08-10
001705.OF,泓德战略转型,2015-11-10
001707.OF,诺安高端制造A,2017-06-08
001714.OF,工银文体产业A,2015-12-30
001717.OF,工银前沿医疗A,2016-02-03
001718.OF,工银物流产业A,2016-03-01
001719.OF,工银国家战略主题,2016-01-29
001725.OF,汇添富中国高端制造A,2017-03-20
001726.OF,汇添富新兴消费A,2015-12-02
001736.OF,圆信永丰优加生活,2015-10-28
001749.OF,招商中国机遇,2018-02-08
001764.OF,广发沪港深新机遇,2016-05-27
001766.OF,上投摩根医疗健康A,2015-10-21
001781.OF,建信现代服务业,2016-02-23
001790.OF,国泰智能汽车A,2017-08-01
001825.OF,建信中国制造2025A,2017-03-08
001849.OF,前海开源强势共识100强,2015-12-10
001877.OF,宝盈国家安全战略沪港深A,2016-01-20
001878.OF,嘉实沪港深精选,2016-05-27
001915.OF,宝盈医疗健康沪港深,2015-12-02
001917.OF,招商量化精选A,2016-03-15
001938.OF,中欧时代先锋A,2015-11-03
001956.OF,国联安科技动力,2016-01-26
001974.OF,景顺长城量化新动力,2016-07-13
001975.OF,景顺长城环保优势,2016-03-15
002121.OF,广发沪港深新起点A,2016-11-02
002168.OF,嘉实智能汽车,2016-02-04
002210.OF,创金合信量化多因子A,2016-01-22
002229.OF,华夏经济转型,2016-03-15
002289.OF,华商改革创新A,2018-03-02
002300.OF,长盛医疗行业A,2016-02-03
002332.OF,汇丰晋信沪港深A,2016-11-10
002333.OF,汇丰晋信沪港深C,2016-11-10
002334.OF,汇丰晋信大盘波动精选A,2016-03-11
002335.OF,汇丰晋信大盘波动精选C,2016-03-11
002387.OF,工银沪港深A,2016-04-20
002556.OF,博时丝路主题C,2016-03-22
002595.OF,博时工业4.0,2016-06-08
002621.OF,中欧消费主题A,2016-07-22
002697.OF,中欧消费主题C,2016-07-22
002861.OF,工银智能制造,2017-06-21
002871.OF,华夏智胜价值成长A,2016-08-09
002872.OF,华夏智胜价值成长C,2016-08-09
002952.OF,建信多因子量化,2016-08-09
002980.OF,华夏创新前沿,2016-09-07
003053.OF,嘉实文体娱乐A,2016-09-07
003054.OF,嘉实文体娱乐C,2016-09-07
003069.OF,光大创业板量化优选A,2018-02-13
003070.OF,光大创业板量化优选C,2020-01-02
003145.OF,中融竞争优势,2016-09-07
003190.OF,创金合信消费主题A,2016-08-22
003191.OF,创金合信消费主题C,2016-08-22
003230.OF,创金合信医疗保健行业A,2016-08-30
003231.OF,创金合信医疗保健行业C,2016-08-30
003232.OF,创金合信金融地产A,2016-08-30
003233.OF,创金合信金融地产C,2016-08-30
003298.OF,嘉实物流产业A,2016-12-29
003299.OF,嘉实物流产业C,2016-12-29
003624.OF,创金合信资源主题A,2016-11-02
003625.OF,创金合信资源主题C,2016-11-02
003634.OF,嘉实农业产业A,2016-12-07
003745.OF,广发多元新兴,2017-04-25
003834.OF,华夏能源革新A,2017-06-07
003853.OF,金鹰信息产业A,2017-03-10
003865.OF,创金合信量化多因子C,2017-01-06
003956.OF,南方产业智选,2017-01-25
003984.OF,嘉实新能源新材料A,2017-03-16
003985.OF,嘉实新能源新材料C,2017-03-16
004040.OF,金鹰医疗健康产业A,2017-08-01
004041.OF,金鹰医疗健康产业C,2017-08-01
004075.OF,交银医药创新A,2017-03-23
004098.OF,前海开源股息率50强,2017-05-08
004189.OF,华商消费行业,2017-03-15
004241.OF,中欧时代先锋C,2017-01-19
004292.OF,鹏华沪深港互联网,2017-04-06
004350.OF,汇丰晋信价值先锋A,2018-11-14
004352.OF,北信瑞丰研究精选,2017-06-28
004403.OF,平安股息精选A,2017-05-17
004404.OF,平安股息精选C,2017-05-17
004450.OF,嘉实前沿科技,2017-05-19
004476.OF,景顺长城沪港深领先科技,2017-07-07
004616.OF,中欧电子信息产业A,2017-07-07
004640.OF,华夏节能环保A,2017-08-11
004683.OF,建信高端医疗A,2017-07-18
004686.OF,华夏研究精选,2017-09-06
004698.OF,博时军工主题A,2017-07-04
004716.OF,信诚量化阿尔法A,2017-07-12
004730.OF,建信量化事件驱动,2017-09-13
004784.OF,招商稳健优选,2017-09-20
004805.OF,长信消费精选行业量化A,2018-03-07
004812.OF,中欧先进制造A,2018-01-19
004813.OF,中欧先进制造C,2018-01-19
004851.OF,广发医疗保健A,2017-08-10
004858.OF,长信量化多策略C,2017-07-20
004925.OF,长信低碳环保行业量化A,2017-11-09
004995.OF,广发品牌消费A,2017-12-14
004997.OF,广发高端制造A,2017-09-01
005009.OF,申万菱信行业轮动A,2017-09-29
005037.OF,银华新能源新材料量化A,2017-09-15
005038.OF,银华新能源新材料量化C,2017-09-15
005106.OF,银华农业产业A,2017-09-28
005161.OF,华商上游产业A,2017-12-27
005188.OF,海富通量化前锋C,2018-02-08
005189.OF,海富通量化前锋A,2018-02-08
005209.OF,东吴双三角A,2017-12-05
005210.OF,东吴双三角C,2017-12-05
005235.OF,银华食品饮料A,2017-11-09
005236.OF,银华食品饮料C,2017-11-09
005237.OF,银华医疗健康A,2017-11-09
005238.OF,银华医疗健康C,2017-11-09
005259.OF,建信龙头企业,2018-01-24
005267.OF,嘉实价值精选,2017-11-06
005268.OF,鹏华优势企业,2017-11-29
005303.OF,嘉实医药健康A,2017-12-04
005304.OF,嘉实医药健康C,2017-12-04
005310.OF,广发电子信息传媒产业精选A,2017-12-11
005328.OF,前海开源价值策略,2017-12-22
005402.OF,广发资源优选A,2017-12-14
005433.OF,申万菱信医药先锋A,2020-11-16
005457.OF,景顺长城量化小盘,2018-02-06
005495.OF,创金合信科技成长A,2017-12-28
005496.OF,创金合信科技成长C,2017-12-28
005502.OF,华泰紫金智能量化A,2018-02-01
005505.OF,前海开源中药研究精选A,2018-03-21
005506.OF,前海开源中药研究精选C,2018-03-21
005569.OF,中融智选红利A,2018-03-30
005570.OF,中融智选红利C,2018-03-30
005612.OF,嘉实核心优势,2018-02-01
005620.OF,中欧品质消费A,2018-02-11
005621.OF,中欧品质消费C,2018-02-11
005628.OF,汇安趋势动力A,2018-04-25
005629.OF,汇安趋势动力C,2018-04-25
005635.OF,博时量化多策略A,2018-04-03
005636.OF,博时量化多策略C,2018-04-03
005660.OF,嘉实资源精选A,2018-10-22
005661.OF,嘉实资源精选C,2018-10-22
005662.OF,嘉实金融精选A,2018-03-14
005663.OF,嘉实金融精选C,2018-03-14
005669.OF,前海开源公用事业,2018-03-23
005707.OF,富国港股通量化精选A,2018-05-30
005763.OF,中欧电子信息产业C,2018-04-23
005777.OF,广发科技动力,2018-05-31
005802.OF,汇添富智能制造A,2018-04-23
005825.OF,申万菱信智能驱动A,2018-06-13
005826.OF,华夏潜龙精选,2018-09-27
005885.OF,金鹰信息产业C,2018-04-18
005894.OF,华夏优势精选,2018-08-07
005927.OF,创金合信新能源汽车A,2018-05-08
005928.OF,创金合信新能源汽车C,2018-05-08
005960.OF,博时量化价值A,2018-06-26
005961.OF,博时量化价值C,2018-06-26
005962.OF,宝盈人工智能A,2018-08-15
005963.OF,宝盈人工智能C,2018-08-15
005968.OF,创金合信工业周期精选A,2018-05-17
005969.OF,创金合信工业周期精选C,2018-05-17
005970.OF,国泰消费优选,2019-01-17
005983.OF,上投摩根核心精选A,2018-11-29
006002.OF,工银医药健康A,2018-07-30
006003.OF,工银医药健康C,2018-07-30
006080.OF,海富通电子信息传媒产业C,2018-12-26
006081.OF,海富通电子信息传媒产业A,2018-12-26
006106.OF,景顺长城量化港股通,2019-06-19
006138.OF,国联安价值优选,2018-09-20
006193.OF,鑫元核心资产A,2018-11-14
006194.OF,鑫元核心资产C,2018-11-14
006195.OF,国金量化多因子A,2018-10-31
006228.OF,中欧医疗创新A,2019-02-28
006229.OF,中欧医疗创新C,2019-02-28
006251.OF,银华兴盛,2019-08-01
006257.OF,信澳先进智造,2019-01-17
006265.OF,红土创新新科技,2018-09-14
006346.OF,安信量化优选A,2018-09-03
006347.OF,安信量化优选C,2018-09-03
006502.OF,财通集成电路产业A,2018-11-29
006503.OF,财通集成电路产业C,2018-11-29
006603.OF,嘉实互融精选,2019-02-28
006604.OF,嘉实消费精选A,2019-04-03
006605.OF,嘉实消费精选C,2019-04-03
006671.OF,广发消费升级,2019-05-27
006675.OF,宝盈品牌消费A,2019-06-06
006676.OF,宝盈品牌消费C,2019-06-06
006692.OF,金信消费升级A,2019-01-31
006693.OF,金信消费升级C,2019-01-31
006751.OF,富国互联科技A,2019-03-26
006781.OF,汇丰晋信港股通精选,2019-03-20
006803.OF,嘉实互通精选,2019-02-20
006818.OF,安信盈利驱动A,2019-03-05
006819.OF,安信盈利驱动C,2019-03-05
006868.OF,华夏科技成长,2019-03-05
006923.OF,前海开源沪港深非周期A,2019-03-13
006924.OF,前海开源沪港深非周期C,2019-03-13
006926.OF,长城量化精选A,2019-05-29
006981.OF,中金新医药A,2019-05-14
007005.OF,中金新医药C,2019-05-14
007130.OF,中庚小盘价值,2019-04-03
007133.OF,嘉实长青竞争优势A,2019-05-06
007134.OF,嘉实长青竞争优势C,2019-05-06
007137.OF,鹏扬元合量化大盘优选A,2019-07-09
007138.OF,鹏扬元合量化大盘优选C,2019-07-09
007287.OF,合煦智远消费主题A,2019-07-03
007288.OF,合煦智远消费主题C,2019-07-03
007354.OF,创金合信港股通量化A,2021-01-11
007357.OF,创金合信港股通量化C,2021-01-11
007388.OF,上投摩根研究驱动A,2020-06-12
007389.OF,上投摩根研究驱动C,2020-06-12
007470.OF,博道叁佰智航A,2019-06-05
007471.OF,博道叁佰智航C,2019-06-05
007512.OF,工银沪港深C,2019-05-30
007523.OF,汇添富内需增长A,2019-07-31
007524.OF,汇添富内需增长C,2019-07-31
007548.OF,易方达ESG责任投资,2019-09-02
007586.OF,华泰保兴多策略三个月,2019-07-05
007590.OF,华宝绿色领先,2019-09-18
007674.OF,工银产业升级A,2019-12-25
007675.OF,工银产业升级C,2019-12-25
007685.OF,华商电子行业量化,2019-09-17
007750.OF,广发优势增长,2019-12-25
007831.OF,博道伍佰智航A,2019-09-26
007832.OF,博道伍佰智航C,2019-09-26
007853.OF,华商计算机行业量化A,2019-10-30
007903.OF,长城量化小盘,2020-01-10
007950.OF,招商量化精选C,2019-09-11
007965.OF,民生加银品质消费A,2020-04-23
007966.OF,民生加银品质消费C,2020-04-23
008009.OF,华商高端装备制造A,2019-12-10
008075.OF,招商核心优选A,2019-12-17
008076.OF,招商核心优选C,2019-12-17
008084.OF,海富通先进制造C,2019-12-17
008085.OF,海富通先进制造A,2019-12-17
008107.OF,华商医药医疗行业,2019-12-27
008128.OF,湘财长源A,2019-12-18
008129.OF,湘财长源C,2019-12-18
008134.OF,鹏华优选价值,2019-12-17
008166.OF,工银消费行业A,2020-03-05
008167.OF,工银消费行业C,2020-03-05
008177.OF,建信高股息主题,2020-01-21
008234.OF,光大保德信消费主题A,2020-04-23
008261.OF,招商研究优选A,2020-04-21
008262.OF,招商研究优选C,2020-04-21
008264.OF,南方ESG主题A,2019-12-19
008265.OF,南方ESG主题C,2019-12-19
008283.OF,易方达金融行业,2020-05-07
008286.OF,易方达研究精选,2020-02-21
008294.OF,朱雀企业优胜A,2020-05-22
008295.OF,朱雀企业优胜C,2020-05-22
008303.OF,宝盈龙头优选A,2020-03-25
008304.OF,宝盈龙头优选C,2020-03-25
008314.OF,上投摩根慧选成长A,2020-01-22
008315.OF,上投摩根慧选成长C,2020-01-22
008382.OF,融通产业趋势,2020-05-09
008412.OF,长盛竞争优势A,2020-07-23
008413.OF,长盛竞争优势C,2020-07-23
008445.OF,融通产业趋势先锋,2020-06-01
008537.OF,兴银研究精选A,2020-07-29
008538.OF,兴银研究精选C,2020-07-29
008618.OF,永赢医药健康A,2020-05-20
008619.OF,永赢医药健康C,2020-05-20
008709.OF,银河龙头A,2020-08-06
008736.OF,南方高股息主题A,2020-07-24
008737.OF,南方高股息主题C,2020-07-24
008854.OF,南方内需增长两年持有A,2020-02-21
008855.OF,南方内需增长两年持有C,2020-02-21
008860.OF,民生加银龙头优选,2020-03-10
008871.OF,大成睿裕六个月持有A,2020-06-05
008872.OF,大成睿裕六个月持有C,2020-06-05
008923.OF,建信医疗健康行业A,2021-12-28
008924.OF,建信医疗健康行业C,2021-12-28
008934.OF,大成科技消费A,2020-07-16
008935.OF,大成科技消费C,2020-07-16
008958.OF,嘉实回报精选,2020-03-06
009017.OF,银华港股通精选A,2020-04-01
009043.OF,九泰久信量化,2020-05-20
009069.OF,大成睿鑫A,2020-08-11
009070.OF,大成睿鑫C,2020-08-11
009106.OF,嘉合同顺智选A,2020-05-22
009107.OF,嘉合同顺智选C,2020-05-22
009126.OF,嘉实基础产业优选A,2020-04-15
009127.OF,嘉实基础产业优选C,2020-04-15
009147.OF,建信新能源A,2020-06-17
009162.OF,富国医药成长30,2020-04-09
009163.OF,广发医疗保健C,2020-03-18
009240.OF,泰康蓝筹优势,2020-08-14
009265.OF,易方达消费精选,2020-04-13
009341.OF,易方达均衡成长,2020-05-22
009379.OF,中银成长优选A,2021-03-23
009398.OF,华富成长企业精选,2020-06-18
009414.OF,中银大健康A,2020-05-27
009476.OF,建信食品饮料行业A,2020-08-26
009491.OF,宝盈创新驱动A,2020-08-10
009492.OF,宝盈创新驱动C,2020-08-10
009513.OF,创金合信同顺创业板A,2020-06-29
009514.OF,创金合信同顺创业板C,2020-06-29
009537.OF,太平行业优选A,2020-09-01
009538.OF,太平行业优选C,2020-09-01
009550.OF,汇添富开放视野中国优势A,2020-07-22
009551.OF,汇添富开放视野中国优势C,2020-07-22
009557.OF,申万菱信创业板量化精选A,2020-06-29
009601.OF,招商科技动力3个月滚动持有A,2020-09-14
009602.OF,招商科技动力3个月滚动持有C,2020-09-14
009658.OF,汇丰晋信中小盘低波动策略A,2020-08-13
009733.OF,创金合信港股通大消费精选A,2020-08-27
009734.OF,创金合信港股通大消费精选C,2020-08-27
009775.OF,汇丰晋信中小盘低波动策略C,2020-08-13
009794.OF,太平智选一年定开,2020-08-14
009805.OF,国泰医药健康A,2020-08-27
009852.OF,银华品质消费,2020-11-11
009863.OF,富国创新趋势,2020-07-27
009864.OF,招商景气优选A,2020-11-18
009865.OF,招商景气优选C,2020-11-18
009874.OF,九泰久睿量化A,2020-08-14
009875.OF,天弘甄选食品饮料A,2020-08-20
009876.OF,天弘甄选食品饮料C,2020-08-20
009877.OF,中银内核驱动A,2020-08-18
009891.OF,融通产业趋势臻选,2020-08-17
009896.OF,广发港股通成长精选A,2020-09-10
009897.OF,广发港股通成长精选C,2020-09-10
009898.OF,民生加银医药健康A,2020-08-28
009899.OF,上银内需增长A,2020-08-24
009954.OF,北信瑞丰优选成长,2020-09-27
009988.OF,信澳蓝筹精选,2020-09-09
010001.OF,创金合信研究精选A,2020-11-04
010002.OF,创金合信研究精选C,2020-11-04
